,T2V_P@1,T2V_P@5,T2V_P@10,T2V_Median R,V2T_R@1,V2T_R@5,V2T_R@10,V2T_Median R,notes
signclip_v1/baseline_sp_b768,0.3450,0.1320,0.0779,3.0,0.3516,0.6581,0.7815,3,E1 pretrained with spreadthesign
signclip_v1/baseline_sp_b768_aug,0.3231,0.1260,0.0751,3.0,0.3441,0.6321,0.7603,3,E1 + 2D augmentation
signclip_v1/baseline_sp_b768_pre,0.3704,0.1371,0.0803,2.0,0.3787,0.6899,0.8067,2,E1 + SignVQ preprocessing
signclip_v1/baseline_sp_b768_pre_aug,0.3485,0.1339,0.0790,3.0,0.3608,0.6826,0.7978,2,E1 + 2D augmentation & SignVQ preprocessing
signclip_v1_1/baseline_layer,0.3675,0.1370,0.0798,2.0,0.3628,0.6824,0.7981,2,E2: E1 + 6 -> 12 layers for video
signclip_v1_1/baseline_proj,0.3613,0.1354,0.0793,2.0,0.3522,0.6705,0.7914,3,E3: E2 + projection
