,T2V_P@1,T2V_P@5,T2V_P@10,T2V_Median R,V2T_R@1,V2T_R@5,V2T_R@10,V2T_Median R,AS T2V_P@1,AS T2V_P@5,AS T2V_P@10,AS T2V_Median R,AS V2T_R@1,AS V2T_R@5,AS V2T_R@10,AS V2T_Median R,AC T2V_P@1,AC T2V_P@5,AC T2V_P@10,AC T2V_Median R,AC V2T_R@1,AC V2T_R@5,AC V2T_R@10,AC V2T_Median R,SL T2V_P@1,SL T2V_P@5,SL T2V_P@10,SL T2V_Median R,SL V2T_R@1,SL V2T_R@5,SL V2T_R@10,SL V2T_Median R,#params,time
signclip_v1_1/baseline,0.3242,0.1253,0.0760,3.0,0.3277,0.6378,0.7656,3,0.0094,0.0066,0.0052,151,0.0051,0.0255,0.0530,103,0.0142,0.0101,0.0092,220,0.0137,0.0480,0.0781,253,0.0051,0.0047,0.0043,908,0.0067,0.0249,0.0423,455.0,175M,29h
signclip_v1_1/baseline_layer,0.3704,0.1360,0.0796,2.0,0.3723,0.6837,0.7959,2,0.0000,0.0038,0.0042,137,0.0063,0.0255,0.0493,104,0.0203,0.0139,0.0119,186,0.0229,0.0728,0.1118,192,0.0092,0.0071,0.0054,804,0.0086,0.0340,0.0557,381.5,217M,28h
signclip_v1_1/baseline_proj,0.3682,0.1368,0.0804,2.0,0.3794,0.6888,0.8009,2,0.0000,0.0075,0.0061,143,0.0028,0.0217,0.0495,104,0.0172,0.0146,0.0119,185,0.0169,0.0545,0.0895,216,0.0112,0.0065,0.0063,826,0.0094,0.0307,0.0535,418.0,218M,15h
signclip_v1_1/baseline_proj_l2,0.0064,0.0063,0.0063,86.0,0.0071,0.0278,0.0563,86,0.0047,0.0047,0.0047,157,0.0040,0.0225,0.0422,114,0.0006,0.0006,0.0006,1116,0.0009,0.0045,0.0078,1237,0.0005,0.0005,0.0005,2289,0.0003,0.0021,0.0046,1119.0,218M,26h
signclip_v1_1/baseline_reduce,0.3733,0.1350,0.0797,2.0,0.3695,0.6829,0.7952,2,0.0047,0.0066,0.0085,145,0.0045,0.0290,0.0530,105,0.0203,0.0149,0.0138,187,0.0171,0.0567,0.0888,230,0.0071,0.0064,0.0053,1074,0.0033,0.0162,0.0262,665.0,217M,32h
signclip_v1_1/baseline_pre,0.4113,0.1434,0.0830,2.0,0.3999,0.7146,0.8283,2,0.0094,0.0056,0.0066,128,0.0053,0.0280,0.0659,99,0.0166,0.0105,0.0094,227,0.0144,0.0484,0.0773,273,0.0046,0.0046,0.0041,1229,0.0038,0.0148,0.0270,551.0,217M,14h
signclip_v1_1/baseline_anonym,0.3662,0.1327,0.0778,3.0,0.3650,0.6769,0.7850,2,0.0000,0.0038,0.0042,146,0.0033,0.0235,0.0500,101,0.0203,0.0129,0.0116,278,0.0176,0.0554,0.0838,251,0.0066,0.0046,0.0041,1152,0.0030,0.0155,0.0271,577.0,217M,40h
signclip_v1_1/baseline_handedness,0.3689,0.1360,0.0799,2.0,0.3582,0.6736,0.7883,2,0.0047,0.0056,0.0066,169,0.0048,0.0230,0.0480,105,0.0172,0.0145,0.0142,167,0.0233,0.0714,0.1085,200,0.0086,0.0071,0.0059,841,0.0093,0.0319,0.0559,435.0,217M,29h
signclip_v1_1/baseline_spatial,0.3410,0.1291,0.0774,3.0,0.3485,0.6520,0.7760,3,0.0094,0.0056,0.0047,144,0.0051,0.0242,0.0520,102,0.0117,0.0113,0.0106,192,0.0179,0.0636,0.0983,219,0.0071,0.0068,0.0052,987,0.0114,0.0366,0.0573,376.5,217M,39h
signclip_v1_1/baseline_temporal,0.3921,0.1393,0.0798,2.0,0.3862,0.6926,0.8047,2,0.0094,0.0085,0.0070,160,0.0076,0.0263,0.0495,104,0.0203,0.0181,0.0165,171,0.0237,0.0786,0.1179,187,0.0163,0.0101,0.0075,626,0.0125,0.0384,0.0616,372.0,217M,62h
signclip_v1_1/baseline_noise,0.3611,0.1354,0.0793,2.0,0.3666,0.6842,0.7981,2,0.0000,0.0028,0.0056,134,0.0073,0.0321,0.0568,104,0.0160,0.0143,0.0130,174,0.0209,0.0688,0.1073,198,0.0086,0.0065,0.0048,938,0.0111,0.0361,0.0574,364.0,217M,29h
