,V2T_R@1,V2T_R@5,V2T_R@10,V2T_Median R,AS V2T_R@10,AS V2T_Median R,AC V2T_R@10,AC V2T_Median R,SL V2T_R@10,SL V2T_Median R,#params,time
signclip_v1_1/baseline,0.3277,0.6378,0.7656,3,0.0530,103,0.0781,253,0.0423,455.0,175M,29h
signclip_v1_1/baseline_layer,0.3723,0.6837,0.7959,2,0.0493,104,0.1118,192,0.0557,381.5,217M,28h
signclip_v1_1/baseline_proj,0.3794,0.6888,0.8009,2,0.0495,104,0.0895,216,0.0535,418.0,218M,15h
signclip_v1_1/baseline_proj_l2,0.0071,0.0278,0.0563,86,0.0422,114,0.0078,1237,0.0046,1119.0,218M,26h
signclip_v1_1/baseline_reduce,0.3695,0.6829,0.7952,2,0.0530,105,0.0888,230,0.0262,665.0,217M,32h
signclip_v1_1/baseline_pre,0.3999,0.7146,0.8283,2,0.0659,99,0.0773,273,0.0270,551.0,217M,14h
signclip_v1_1/baseline_anonym,0.3650,0.6769,0.7850,2,0.0500,101,0.0838,251,0.0271,577.0,217M,40h
signclip_v1_1/baseline_handedness,0.3582,0.6736,0.7883,2,0.0480,105,0.1085,200,0.0559,435.0,217M,29h
signclip_v1_1/baseline_spatial,0.3485,0.6520,0.7760,3,0.0520,102,0.0983,219,0.0573,376.5,217M,39h
signclip_v1_1/baseline_temporal,0.3862,0.6926,0.8047,2,0.0495,104,0.1179,187,0.0616,372.0,217M,62h
signclip_v1_1/baseline_noise,0.3666,0.6842,0.7981,2,0.0568,104,0.1073,198,0.0574,364.0,217M,29h
signclip_v1_1/baseline_final,0.3851,0.6965,0.8009,2,0.0452,106,0.1195,192,0.0616,396.0,217M,63h
signclip_v1_1/baseline_final_proj,0.0031,0.0082,0.0150,1143,0.0510,104,0.0179,595,0.0074,856.0,218M,65h
