,T2V_P@1,T2V_P@5,T2V_P@10,T2V_Median R,V2T_R@1,V2T_R@5,V2T_R@10,V2T_Median R,notes
test_asl_signs,0.9080,0.8408,0.7472,1.0,0.6079,0.8492,0.9066,1,pose without face
test_asl_signs_full,0.9200,0.8424,0.7432,1.0,0.5856,0.8471,0.9058,1,pose with full face
