videoLanguage,count
swl,18599
lls,16871
dsl,16380
ise,16235
bfi,16026
gsg,15657
asq,15061
csq,14543
ssp,14136
lsl,14107
rsl,14027
eso,13956
tsm,13900
svk,13863
rsl-by,13826
psr,13518
aed,13484
cse,13457
csl,13406
icl,13341
ukl,13269
bqn,12552
ase,12490
pso,12392
fsl,12021
asf,11743
gss,11627
pks,10332
fse,9866
jsl,9238
gss-cy,8506
rms,8238
bzs,7681
csg,7457
ins,6086
mfs,4077
jos,2397
nzs,1468
ils,868
csf,211
ysl,1
